 Tinkerbell, Bad Fairy
 Taran_Tatsuuchi, Taran Tatsuuchi
 Jacez, Jacezz.
 Stahlkopp, Stahlkopp
 98-6DegreesNTheShade, Shade
 Ingy_Flingy, Ingy_Flingy
 Ban-Danna, Ban Danna
 Balls_Bailey, Balls Bailey
 Frankenbean, Frankenbean
 Acis, Acis
 Salamandus, Salamandus
 Firetail, Quillion
 Dalix, Dalix
 Tanker4444, Soyokaze14
 TRush, Tryptophan Rush
 SnapDragon, Phodis
 alpha-1-1, Alpha-234
 Jazzy, Jazzy
 Republic, Pieces of Eight
 TedDanson, [RRRR] Yoda Squirrel
 Beaun, Oren Beaun
 Bern17th, Bern
 Martijn, Martijn
 Gishank, Gishank
 Rexxar, Rexxar
 Leviathan17, Leviathan
 AecussDiabolicus, Aecuss Diabolicus
 Rollcage, CrisisChild
 Kaikou, Kaikou
 VCQBR, VCQBR
 Heliostrike, Tarrok
 dominoes, d.walker
 Vision1776, Vision1776
 HellToupee, HellToupee
 wo_kelly, wo_kelly
 SwitchOnTwitch, SwitchOnTwitch
 Inkarnus, Inkarnus
 Vyper54, Vyper
 Natedawg, Natedawg
 Scythelord, Scythelord
 fluks, fluks
 Raffaele, Raffaele
 Astroe, Lumberjack
 AnathemaDevice, Anathema
 Thorne1031, Thorne1031
 eddie0890, Kephalos J?gare
 Colt556, Colt556
 Hypno-Toad, Toad
 Killieman, Auran Solstrider
 docholiday, docholiday
 Void_Ghost, Void Ghost
 Kadnezar, Kadnezar
 Bazzle, Bazzle
 Vellik_Saatro, Vellik Utnoln
 wreckyCZ, wreckyCZ
 goatx, GoatX
 Finadil, Finadil
 Fibbledeflooke, Fibble De Flooke
 Scival, Scival
 Anti-Matt, Anti Matt
 Halcyonic, Halcyonic
 Lord_Zedd, LordZedd
 avendium, Avendium
 ninetenduh, ninetenduh
 Xist, Xist
 Shiv-Katall, Shiv
 Adava, Adava Vapp
 Anvil7, Anvil
 Mike_Edwards, Mike Edwards
 Eye, Mayman
 Mr_144, ShadowFlash
 Voyager73, Blaster_2813
 Ender-jr, Ender
 DJRWolf, DJRWolf
 rEmEdEEEh, rEmEdEEEh
 MarcusPerry, Marcus Perry
 Cpt-Maysrill, Captain Maysrill
 DeadMatter, Dead Star
 ZeroArmada, ZeroArmada
 Interventor, Spektr
 Fanboy3k, Fanboy3k
 Hover_Cheese, Hover Cheese
 FR-Neko, Neko_fr
 Jett-Man, Jett Edo
 Themole215, Mole
 PatrickGaffney, The_Shadow_Wolf
 hellscoop, hellscoop
 griffglen, Griffglen
 Riverdog, R1VERDO6
 Northborn, Vard Northborn
 blaznee, blaznee
 brokenmatt, Matt S
 Chaser711, kvin marsh
 The_Stray, Stray
 Kalamari, Kalamari
 Calyh, Callumbiayeah
 Luoth, Col. Luoth
 Avale0n, Avaleon
 zorakk, Zorak
 Bonesz, Bonecollector
 Guld, Guil D'ah
 xSmithyx, xSmithyx
 milleh, Milleh
 Dragon_Lord, <UEENR> Lt.CDR Draco [ESG-23]
 hai2ulol, hai2ulol
 TheTetsusaiga, TheTetsusaiga
 Arcland, Arcland
 DookieDeamon, Qorez
 Nauht, Nauht
 ptcSpecs, CSC Specs
 incredible, IncredibleLric
 GalacticGhost, GalacticGhost
 Llat, Llatsin
 maximilious, Maximilious
 EoGxJtech, eog.jtech
 Noiramort, Noiramort
 Lengradde, Lemming
 grossaffe, grossaffe
 6AnimalMother9, Animal Mother
 TimberwolfGEO, TimberwolfGEO
 Greywander, Greywander
 gstephen, gstephen
 Distorm, [XPL] Distorm
 Razor13, Razor
 Jeff185, Jeff185
 Sopor, Sopor
 arbox1902, Arbox1902
 Uber-Goober, =OT= Uber Goober
 Knightwyvern, Knightwyvern
 RobertStevens, RGS
 SpaceVoyager, Space Voyager
 Arglmauf, Arglmauf
 End-World-Hatred, EndWorldHATE
 LittleBlade, Little Blade
 disco, Manuel
 FR4K4, sap
 Black_Magic, Black Magic
 Salmoneus, Salmoneus
 DeathJester, DeathJester
 Lanarchy, Lanarchy
 peakabu, Peakabu
 ThePraetorian, Deaths Talon
 Vince_Wildman," [EJ]Vince""Wildman"""
 mordsith189, Mordsith
 V0racity, V0racity
 Narteck, Narteck
 monkeywrench, MonkeyWrench
 Rayzonic, Rayzonic
 DeamosX, DeamosX
 evilducky, Evilducky
 Leuius_32, [SRAS] Gods3nt
 govonid, govonid
 Jak_Lynch, Jaksyn Lynch
 Pyros, Pyros
 Stormprooter, Storm
 Deathor, Deathor
 RefMinor, Ref Minor
 synchro, synchro
 CorvusNocte, Corvus
 Baragoon, Baragoon
 WCCIC-Whistler, Whistler
 bigbadben, bigbadben
 Sissors, Sissors
 LunikNoxa, AspiringExpatriate
 Mal_Rynolds, stardog
 SC_AlfredMoragas, Payton Wynn
 TEDCADER, Spac3Monkey
 This_is_Caboose, Caboose
 LustianKerst, Lustian Kerst
 Dair, Dair
 Beruga, Dunban
 rpk0714, Raubk0pierer
 Duskmonkey, Duskmonkey
 Osiris, TomGunn
 Mr-mclitch, Mic_Mclitch.
 Carxin_Terralion, B.D. SAGE
 GunHoleo, GunHoleo
 Cheiron_Spectre, Kellen Tavadon
 Israfel, Israfel
 RzRamon, RzRamon
 Metalsand, Metalsand
 JarodCain, Jarod Cain
 Nickel, Nickel
 Skade42, Skade
 Woolfer, Woolfer
 DecayedBit, Cheetah
 Nightspawn, Nightspawn
 Rabid_Dawg, Aeros
 DarkStar2899, Jinx
 The_Host, Mika Hakkinen
 hendocaine, Hendo
 Hexadiagonal, Hexadiagonal
 HangOverGuy, HangOverGuy
 LesserAngel, LesserAngel
 Talz, Talz
 Bot4911, Christopher Botterman
 Trash-Gordon, Trash Gordon
 Wizzball, Wizzball
 Shadow-Knight, Shadow Knight
 Liquidpinky, Liquidpinky
 LangyMD, LangyMD
 BeerayEcho, Beeray Echo
 Alkaladar, Alkaladar
 Arath, Arath
 Sousuke, Sousuke Sagara
 Orblivion, Orblivion
 N0bbody, N0bbody
 GeekMarty, Martin Talvan
 Pathogen, Pathogen
 EreWen, ??????
 DAwGi, DAwGi
 2Yxpoh, Poh Yoshiro
 Edgefire, Edgefire
 mrJaskier, Mr.Jaskier
 Sithalos, Tony
 Warhawke, Hawke
 Frojak, Frojak
 Reclusiarch, Reclusiarch
 SixMoon, SixMoon
 Vikinger76, Vikinger76
 Azurelinctus, Azurelinctus
 Nosterex, Nosterex
 skritt, Habu
 kestrel-alpha, Kestrel Alpha
 Silvera, Silvera
 ReccaJo, ReccaJo
 Silentarrow, Drune
 Yadav, Diane
 Krisk, Krisk
 Shocks, Shocks
 DeGee, doGfLight
 Harrysun, Harrysun
 gmfaux, gmfaux
 Shadow3393, Shadow3393
 Lasse_B, Lasse
 Mobius-Z, Mobius
 Senka, Senka
 Space-Dandy, Dandy
 Archaeopteryx, Archaeopteryx
 Deeptracks, Deeptracks
 Zoltariel, Kitten
 Dusty_Anise, Namgrunt68
 Valashar, Valashar
 Trekstrong, Trekstrong
 L3oZ, L3oZ
 Kriegshammer, Kriegshammer
 Capella8, Capella 8
 Korren, Michael Wells
 Getlost81, Getlost81
 StaRR-loKK, StaRR-loKK
 Mongoose, Viper
 Clemson, Clemson
 Speedracer99, Azlen
 Woofi, Woofi
