 arrow-of-apollo, Apollo
 Esjan, Soprano
 Firaxis16, Firaxis16
 Jamar, Alencon
 Wing-Lord, Arklite
 HulkLikeFire, Dustin
 RichoX, Big Richo
 Kanes1815, kanes1815
 Qualll, Qualll
 d173, dragon17361
 Hacker, Lamminator
 GraySpace, GraySpace
 chex99, Chex
 Ryucoshen, Ryucoshen
 warcannon44, Col. Chappy
 crispianmorris, crispianmorris
 Coscar, Coscar
 Gideon2, Gideon
 Ancellor, Retrograde
 darzeto, darzet wyvern
 RamsonCole, RamsonCole
 Ayuna, Ayuna
 Satheus, Satheus
 DanMoney, DanMoney
 fronius2, abarth
 Ayazura, Ayazura
 curlyfries, curly
 Psye, Psye
 Sephirium, Sephirium
 alrick1, Alrick1
 Healaggro, Healaggro
 eba, Elran Banin
 Gananmede, Gana
 Shaqattack, Shaqattack
 Windmaker, Docto
 Manitha_c, Manitha Chandrasena
 Space-Raider, SpaceRaider
 HenryStarbuck, Henry Starbuck
 Ocorneillard, Nairod
 Kilian581, Kilian581
 komatek21, komatek21
 Derkin, Dal Derkin
 Rekyu, Rekyu
 One_Handi, One_Handi
 Wazley, Wazley
 BlackBox12, BlackBox12
 AntraxGM, Antrax
 Delmadge, Delmadge
 Holzi113, Holzi113
 xArcan3x, Arcan3
 OlimRA, OlimRA
 McConach, Shadow
 SquadCommander, ?Reaper?
 Vikinger76, Vikinger76
 Sporadically, Sporadically
 razag, razag
 Nzere, Nzerekore
 Kib0sh, Kib0sh
 Miendust, Miendust
 R0CK3R, R0CK3R
 Jimreynor, Jimreynor
 SpiteJ, SpiteJ
 Daphit, Daphit
 Jager79, Jager
 ThistleWhistle, ThistleWhistle
 Kendrak79, Kendrak79
 Fescue, Fescue
 Pokboy, Pokboy
 S1LV3RW0LF, S1LV3RW0LF
 ZidaneTribal16, ZidaneTribal16
 Maukieboy, Maukieboy
 Vanco, Vanco
 Solinthos, das
 Skyline45, Skyline
 luciferkee, Luciferkee
 PapkinSanya, PapkinSanya
 MagicMelman, MagicMelman
 Langgy, Archangel
 Sgalpaigh, Rainshine
 Humblesimon, Humblesimon
 Cartin, Cartin
 DrFubar, Dr Fubar
 XeroPhane, XeroPhane
 TMac71, TMac
